geoid,idx_row,idx_col,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,tri,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,downhill_fraction,dom_clock_dir,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
64328,172,172,41.880943298339844,-87.64857482910156,88.43,3.77,-0.15,0.19,0.0,-0.01,0.03,0.03,0.01,"[83.61,76.54,95.66,92.39,89.91,91.21,84.89,94.25,87.38]","[0.21,0.18,0.09,0.17,0.19,0.21,0.21,0.24,0.21]","[0.01,0.03,-0.00,0.00,0.02,0.05,0.03,0.07,0.04]",3.7,178.56,0,0,0,0,0,0,0,-0.25,-0.04,0.79,0.52,0.8,0.01,0,,83.61,76.54,95.66,92.39,89.91,91.21,84.89,94.25,87.38,,0.21,0.18,0.09,0.17,0.19,0.21,0.21,0.24,0.21,,0.01,0.03,-0.0,0.0,0.02,0.05,0.03,0.07,0.04,
64329,172,173,41.880943298339844,-87.64839935302734,88.53,3.95,-0.17,0.16,-0.01,-0.0,0.01,0.01,0.0,"[83.60,76.51,95.73,92.57,90.09,91.30,85.05,94.39,87.55]","[0.18,0.16,0.10,0.15,0.15,0.17,0.17,0.19,0.17]","[0.01,0.02,-0.01,-0.01,-0.01,0.02,0.01,0.04,0.02]",3.62,178.48,0,0,0,0,0,0,0,-0.39,-0.23,0.79,0.31,0.55,0.01,0,,83.6,76.51,95.73,92.57,90.09,91.3,85.05,94.39,87.55,,0.18,0.16,0.1,0.15,0.15,0.17,0.17,0.19,0.17,,0.01,0.02,-0.01,-0.01,-0.01,0.02,0.01,0.04,0.02,
64330,172,174,41.880943298339844,-87.6482162475586,88.7,4.14,-0.12,0.13,-0.01,-0.0,-0.0,0.01,0.0,"[83.58,76.77,95.79,92.83,90.29,91.50,85.27,94.51,87.72]","[0.14,0.13,0.10,0.13,0.12,0.14,0.13,0.15,0.13]","[-0.00,0.00,-0.02,-0.01,-0.02,0.01,-0.01,0.02,0.01]",3.54,178.41,0,0,0,0,0,0,0,-0.35,-0.12,0.7,0.37,0.77,0.04,0,,83.58,76.77,95.79,92.83,90.29,91.5,85.27,94.51,87.72,,0.14,0.13,0.1,0.13,0.12,0.14,0.13,0.15,0.13,,-0.0,0.0,-0.02,-0.01,-0.02,0.01,-0.01,0.02,0.01,
64331,172,175,41.880943298339844,-87.64804077148438,88.88,4.35,-0.05,0.11,-0.01,0.0,-0.01,0.01,0.01,"[83.56,77.09,95.84,93.16,90.55,91.71,85.49,94.56,87.91]","[0.12,0.12,0.10,0.12,0.11,0.12,0.11,0.12,0.10]","[-0.01,-0.01,-0.02,-0.01,-0.02,-0.00,-0.02,0.01,-0.01]",3.47,178.33,0,0,0,0,0,0,0,-0.15,0.06,0.49,0.66,0.81,0.2,0,,83.56,77.09,95.84,93.16,90.55,91.71,85.49,94.56,87.91,,0.12,0.12,0.1,0.12,0.11,0.12,0.11,0.12,0.1,,-0.01,-0.01,-0.02,-0.01,-0.02,-0.0,-0.02,0.01,-0.01,
64332,172,176,41.880943298339844,-87.64785766601562,89.02,4.51,0.01,0.11,-0.02,0.0,-0.01,0.01,0.01,"[83.56,77.37,95.88,93.46,90.81,91.86,85.65,94.55,88.06]","[0.11,0.11,0.10,0.12,0.11,0.11,0.10,0.11,0.09]","[-0.02,-0.00,-0.02,-0.00,-0.02,-0.01,-0.03,0.01,-0.01]",3.4,178.26,0,0,0,0,0,0,0,0.04,0.21,0.33,0.88,0.58,0.39,0,,83.56,77.37,95.88,93.46,90.81,91.86,85.65,94.55,88.06,,0.11,0.11,0.1,0.12,0.11,0.11,0.1,0.11,0.09,,-0.02,-0.0,-0.02,-0.0,-0.02,-0.01,-0.03,0.01,-0.01,
64333,172,177,41.880943298339844,-87.64767456054688,89.13,4.59,0.04,0.11,-0.02,0.01,-0.0,0.03,0.01,"[83.58,77.57,95.91,93.71,91.04,91.95,85.73,94.48,88.17]","[0.11,0.12,0.10,0.13,0.11,0.11,0.10,0.11,0.09]","[-0.03,0.01,-0.01,0.01,-0.00,-0.00,-0.02,0.02,0.00]",3.39,178.25,0,0,0,0,0,0,0,0.06,0.27,0.32,0.89,0.48,0.4,0,,83.58,77.57,95.91,93.71,91.04,91.95,85.73,94.48,88.17,,0.11,0.12,0.1,0.13,0.11,0.11,0.1,0.11,0.09,,-0.03,0.01,-0.01,0.01,-0.0,-0.0,-0.02,0.02,0.0,
64334,172,178,41.880943298339844,-87.64749908447266,89.19,4.61,0.04,0.11,-0.02,0.01,0.01,0.05,0.01,"[83.60,77.66,95.96,93.87,91.28,91.91,85.78,94.45,88.21]","[0.10,0.11,0.11,0.13,0.12,0.12,0.10,0.11,0.09]","[-0.03,0.01,-0.00,0.02,0.01,0.01,-0.01,0.03,0.01]",3.35,178.21,0,0,0,0,0,0,0,0.24,0.43,0.31,0.54,0.25,0.43,0,,83.6,77.66,95.96,93.87,91.28,91.91,85.78,94.45,88.21,,0.1,0.11,0.11,0.13,0.12,0.12,0.1,0.11,0.09,,-0.03,0.01,-0.0,0.02,0.01,0.01,-0.01,0.03,0.01,
64335,172,179,41.880943298339844,-87.64732360839844,89.26,4.54,0.01,0.11,-0.02,0.01,0.02,0.05,0.01,"[83.62,77.70,96.03,93.99,91.57,91.81,85.82,94.64,88.17]","[0.10,0.11,0.11,0.13,0.12,0.13,0.11,0.12,0.09]","[-0.02,0.01,0.02,0.04,0.03,0.03,0.01,0.05,0.03]",3.3,178.16,0,0,0,0,0,0,0,0.41,0.63,0.38,0.27,0.07,0.32,0,,83.62,77.7,96.03,93.99,91.57,91.81,85.82,94.64,88.17,,0.1,0.11,0.11,0.13,0.12,0.13,0.11,0.12,0.09,,-0.02,0.01,0.02,0.04,0.03,0.03,0.01,0.05,0.03,
64336,172,180,41.880943298339844,-87.64714050292969,89.33,4.31,-0.02,0.12,-0.02,0.01,0.04,0.05,0.01,"[83.63,77.70,96.14,94.09,91.89,91.67,85.86,95.06,87.94]","[0.11,0.11,0.12,0.14,0.13,0.15,0.11,0.12,0.09]","[-0.01,0.01,0.04,0.06,0.04,0.06,0.02,0.06,0.04]",3.25,178.11,0,0,0,0,0,0,0,0.47,0.78,0.52,0.21,0.01,0.16,0,,83.63,77.7,96.14,94.09,91.89,91.67,85.86,95.06,87.94,,0.11,0.11,0.12,0.14,0.13,0.15,0.11,0.12,0.09,,-0.01,0.01,0.04,0.06,0.04,0.06,0.02,0.06,0.04,
64337,172,181,41.880943298339844,-87.64695739746094,89.35,3.61,-0.05,0.16,-0.03,0.02,0.06,0.04,0.02,"[83.57,77.71,96.27,94.20,92.13,91.54,85.93,95.59,87.18]","[0.15,0.17,0.16,0.18,0.17,0.21,0.14,0.16,0.11]","[0.02,0.04,0.06,0.09,0.06,0.09,0.03,0.06,0.06]",3.21,178.08,0,0,0,0,0,0,0,0.32,0.63,0.63,0.41,0.08,0.08,0,,83.57,77.71,96.27,94.2,92.13,91.54,85.93,95.59,87.18,,0.15,0.17,0.16,0.18,0.17,0.21,0.14,0.16,0.11,,0.02,0.04,0.06,0.09,0.06,0.09,0.03,0.06,0.06,
