geoid,idx_row,idx_col,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,tri,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,downhill_fraction,dom_clock_dir,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
0,0,0,32.85430908203125,-96.89590454101562,77.65,13.91,0,-0.1,-0.01,0,0.29,0.04,0,"[70.69,84.60]","[-0.10,-0.11]","[0.27,0.31]",12.28,125.04,0,0,0,0,0,0,0,-0.61,0.77,-0.44,0,0,0,0,,70.69,84.6,,,,,,,,,-0.1,-0.11,,,,,,,,,0.27,0.31,,,,,,,,
1,0,1,32.85430908203125,-96.89413452148438,84.19,13.83,0,0.29,0.0,0,0.27,0.0,0,"[77.28,91.10]","[0.29,0.30]","[0.27,0.27]",12.97,125.73,0,0,0,0,0,0,0,0.2,-0.23,-0.34,0,0,0,0,,77.28,91.1,,,,,,,,,0.29,0.3,,,,,,,,,0.27,0.27,,,,,,,,
2,0,2,32.85430908203125,-96.89232635498047,86.48,11.66,0,0.61,0.02,0,0.31,-0.01,0,"[80.65,92.31]","[0.60,0.63]","[0.32,0.31]",13.54,126.29,0,0,0,0,0,0,0,0.87,-0.2,-0.07,0,0,0,0,,80.65,92.31,,,,,,,,,0.6,0.63,,,,,,,,,0.32,0.31,,,,,,,,
3,0,3,32.85430908203125,-96.89054870605469,94.6,3.26,0,0.49,-0.03,0,0.23,-0.03,0,"[92.97,96.23]","[0.51,0.48]","[0.25,0.22]",13.65,126.4,0,0,0,0,0,0,0,-0.25,-0.44,0.79,0,0,0,0,,92.97,96.23,,,,,,,,,0.51,0.48,,,,,,,,,0.25,0.22,,,,,,,,
4,0,4,32.85430908203125,-96.88874053955078,99.3,4.97,0,0.25,-0.01,0,0.1,-0.03,0,"[96.81,101.78]","[0.25,0.24]","[0.11,0.08]",13.49,126.24,0,0,0,0,0,0,0,-0.31,-0.82,0.49,0,0,0,0,,96.81,101.78,,,,,,,,,0.25,0.24,,,,,,,,,0.11,0.08,,,,,,,,
5,0,5,32.85430908203125,-96.88693237304688,96.96,0.48,0,0.48,-0.04,0,0.22,-0.07,0,"[96.72,97.20]","[0.50,0.45]","[0.25,0.18]",13.52,126.28,0,0,0,0,0,0,0,0.34,0.31,0.9,0,0,0,0,,96.72,97.2,,,,,,,,,0.5,0.45,,,,,,,,,0.25,0.18,,,,,,,,
6,0,6,32.85430908203125,-96.88514709472656,100.56,2.82,0,0.42,-0.03,0,0.17,-0.04,0,"[99.15,101.97]","[0.43,0.40]","[0.19,0.15]",14.65,127.4,0,0,0,0,0,0,0,-0.52,-0.52,1.0,0,0,0,0,,99.15,101.97,,,,,,,,,0.43,0.4,,,,,,,,,0.19,0.15,,,,,,,,
7,0,7,32.85430908203125,-96.88337707519531,107.13,6.84,0,0.3,-0.01,0,0.12,-0.02,0,"[103.72,110.55]","[0.31,0.29]","[0.13,0.11]",12.34,125.1,0,0,0,0,0,0,0,-0.88,-0.94,0.93,0,0,0,0,,103.72,110.55,,,,,,,,,0.31,0.29,,,,,,,,,0.13,0.11,,,,,,,,
8,0,8,32.85430908203125,-96.88156127929688,108.35,6.57,0,0.18,-0.01,0,0.02,-0.02,0,"[105.07,111.64]","[0.19,0.18]","[0.03,0.01]",13.12,125.87,0,0,0,0,0,0,0,-0.88,-0.96,0.9,0,0,0,0,,105.07,111.64,,,,,,,,,0.19,0.18,,,,,,,,,0.03,0.01,,,,,,,,
9,0,9,32.85430908203125,-96.87975311279297,104.66,3.4,0,0.3,-0.01,0,0.08,-0.02,0,"[102.96,106.35]","[0.31,0.29]","[0.09,0.07]",17.06,129.81,0,0,0,0,0,0,0,-0.87,-0.9,0.76,0,0,0,0,,102.96,106.35,,,,,,,,,0.31,0.29,,,,,,,,,0.09,0.07,,,,,,,,
