geoid,lat,lon,lstf,lstf_serc,lstf_arc,lstf_flag,ndvi,ndvi_serc,ndvi_arc,ndvi_flag,ndmi,ndmi_serc,ndmi_arc,ndmi_flag,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,lstf_temporal,ndvi_temporal,ndmi_temporal,ls_land_cover,cl_land_cover,slope,aspect,tri,tpi,anisotropy,downhill_fraction,dom_angle_deg,dom_ptb_lat,dom_ptb_lon,dom_dir_elv,dd_geoid
4286,30.818323135375977,-105.10477447509766,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,28.0,1179.8,2.0,2.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.12,,0.03,0.5,239.43,30.82,-105.1,27.95,
4287,30.818323135375977,-105.10476684570312,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,27.94,1179.73,2.0,3.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.12,,0.08,0.5,160.71,30.82,-105.1,28.0,
4288,30.818323135375977,-105.1047592163086,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,27.86,1179.66,2.0,4.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.13,,0.07,0.5,165.0,30.82,-105.1,27.94,
4289,30.818323135375977,-105.10474395751953,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,27.76,1179.56,2.0,5.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.13,,0.04,0.62,173.81,30.82,-105.1,27.86,
4290,30.818323135375977,-105.104736328125,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,27.66,1179.46,2.0,6.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.13,,0.02,0.62,145.45,30.82,-105.1,27.86,
4291,30.818323135375977,-105.10472869873047,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,27.55,1179.35,2.0,7.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.12,,0.03,0.62,99.36,30.82,-105.1,27.75,
4292,30.818323135375977,-105.10472106933594,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,27.44,1179.24,2.0,8.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.11,,0.01,0.5,240.42,30.82,-105.1,27.45,
4293,30.818323135375977,-105.1047134399414,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,27.34,1179.14,2.0,9.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.11,,0.02,0.5,116.7,30.82,-105.1,27.52,
4294,30.818323135375977,-105.10470581054688,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,27.25,1179.05,2.0,10.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.12,,0.15,0.5,95.59,30.82,-105.1,27.41,
4295,30.818323135375977,-105.10469055175781,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,27.12,1178.92,2.0,11.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.14,,0.14,0.5,102.92,30.82,-105.1,27.31,
4296,30.818323135375977,-105.10468292236328,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,26.96,1178.76,2.0,12.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.14,,0.08,0.5,218.16,30.82,-105.1,27.05,
4297,30.818323135375977,-105.10467529296875,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,26.83,1178.63,2.0,13.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.12,,0.11,0.5,234.07,30.82,-105.1,26.89,
4298,30.818323135375977,-105.10466766357422,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,26.73,1178.53,2.0,14.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.11,,0.06,0.38,206.43,30.82,-105.1,26.74,
4299,30.818323135375977,-105.10466003417969,79.1,7.51,0.83,,0.09,-0.01,0.0,,,,,,26.65,1178.45,2.0,15.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.1,,0.08,0.5,191.67,30.82,-105.1,26.73,
4300,30.818323135375977,-105.10465240478516,79.12,7.5,0.83,,0.09,-0.01,0.0,,,,,,26.59,1178.39,2.0,16.0,,,,,,,0.02,,,0.97,,,,,,,,,,0.1,,0.12,0.5,196.46,30.82,-105.1,26.65,
4301,30.818323135375977,-105.1046371459961,79.13,7.5,0.83,,0.09,-0.01,0.0,,,,,,26.53,1178.33,2.0,17.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.1,,0.16,0.5,170.02,30.82,-105.1,26.59,
4302,30.818323135375977,-105.10462951660156,79.14,7.5,0.83,,0.09,-0.01,0.0,,,,,,26.46,1178.26,2.0,18.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.11,,0.17,0.62,149.76,30.82,-105.1,26.61,
4303,30.818323135375977,-105.10462188720703,79.15,7.49,0.83,,0.09,-0.01,0.0,,,,,,26.37,1178.17,2.0,19.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.13,,0.13,0.62,130.92,30.82,-105.1,26.54,
4304,30.818323135375977,-105.1046142578125,79.16,7.49,0.83,,0.09,-0.01,0.0,,,,,,26.24,1178.04,2.0,20.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.14,,0.07,0.5,113.31,30.82,-105.1,26.45,
4305,30.818323135375977,-105.10460662841797,79.17,7.48,0.83,,0.09,-0.01,0.0,,,,,,26.11,1177.91,2.0,21.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.14,,0.03,0.5,280.55,30.82,-105.1,26.01,
4306,30.818323135375977,-105.1045913696289,79.18,7.48,0.83,,0.09,-0.01,0.0,,,,,,25.99,1177.79,2.0,22.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.12,,0.09,0.38,286.31,30.82,-105.1,25.9,
4307,30.818323135375977,-105.10458374023438,79.19,7.48,0.83,,0.09,-0.01,0.0,,,,,,25.89,1177.69,2.0,23.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.11,,0.07,0.38,324.34,30.82,-105.1,25.73,
4308,30.818323135375977,-105.10457611083984,79.2,7.47,0.83,,0.09,-0.01,0.0,,,,,,25.82,1177.62,2.0,24.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.1,,0.03,0.5,7.23,30.82,-105.1,25.73,
4309,30.818323135375977,-105.10456848144531,79.22,7.47,0.83,,0.09,-0.01,0.0,,,,,,25.73,1177.53,2.0,25.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.09,,0.16,0.5,317.22,30.82,-105.1,25.62,
4310,30.818323135375977,-105.10456085205078,79.23,7.46,0.83,,0.09,-0.01,0.0,,,,,,25.68,1177.48,2.0,26.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.07,,0.31,0.38,336.29,30.82,-105.1,25.68,
4311,30.818323135375977,-105.10455322265625,79.24,7.46,0.83,,0.09,-0.01,0.0,,,,,,25.72,1177.52,2.0,27.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.09,,0.41,0.38,90.49,30.82,-105.1,25.76,
4312,30.818323135375977,-105.10453796386719,79.25,7.46,0.83,,0.09,-0.01,0.0,,,,,,25.84,1177.64,2.0,28.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.11,,0.11,0.5,119.64,30.82,-105.1,25.77,
4313,30.818323135375977,-105.10453033447266,79.26,7.45,0.83,,0.09,-0.01,0.0,,,,,,25.98,1177.78,2.0,29.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.12,,0.06,0.5,262.55,30.82,-105.1,25.96,
4314,30.818323135375977,-105.10452270507812,79.27,7.45,0.83,,0.09,-0.02,0.0,,,,,,26.11,1177.91,2.0,30.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.1,,0.21,0.5,278.49,30.82,-105.1,26.08,
4315,30.818323135375977,-105.1045150756836,79.28,7.44,0.83,,0.09,-0.02,0.0,,,,,,26.2,1178.0,2.0,31.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.07,,0.2,0.62,273.26,30.82,-105.1,26.15,
4316,30.818323135375977,-105.10450744628906,79.29,7.44,0.83,,0.09,-0.02,0.0,,,,,,26.25,1178.05,2.0,32.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.07,,0.09,0.62,157.88,30.82,-105.1,26.2,
4317,30.818323135375977,-105.10449981689453,79.31,7.44,0.83,,0.09,-0.02,0.0,,,,,,26.3,1178.1,2.0,33.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.08,,0.12,0.62,144.87,30.82,-105.1,26.3,
4318,30.818323135375977,-105.10448455810547,79.32,7.43,0.83,,0.09,-0.02,0.0,,,,,,26.34,1178.14,2.0,34.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.09,,0.14,0.5,156.55,30.82,-105.1,26.36,
4319,30.818323135375977,-105.10447692871094,79.33,7.43,0.83,,0.09,-0.02,0.0,,,,,,26.38,1178.18,2.0,35.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.1,,0.14,0.5,158.07,30.82,-105.1,26.34,
4320,30.818323135375977,-105.1044692993164,79.34,7.42,0.83,,0.09,-0.02,0.0,,,,,,26.4,1178.2,2.0,36.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.12,,0.09,0.5,156.31,30.82,-105.1,26.48,
4321,30.818323135375977,-105.10446166992188,79.35,7.42,0.82,,0.09,-0.02,0.0,,,,,,26.4,1178.2,2.0,37.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.13,,0.08,0.62,139.01,30.82,-105.1,26.52,
4322,30.818323135375977,-105.10445404052734,79.36,7.42,0.82,,0.09,-0.02,0.0,,,,,,26.39,1178.19,2.0,38.0,,,,,,,0.02,,,0.96,,,,,,,,,,0.14,,0.06,0.5,140.35,30.82,-105.1,26.54,
4323,30.818323135375977,-105.10443878173828,79.37,7.41,0.82,,0.09,-0.02,0.0,,,,,,26.38,1178.18,2.0,39.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.15,,0.05,0.5,143.03,30.82,-105.1,26.55,
4324,30.818323135375977,-105.10443115234375,79.38,7.41,0.82,,0.09,-0.02,0.0,,,,,,26.35,1178.15,2.0,40.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.15,,0.0,0.5,338.2,30.82,-105.1,26.31,
4325,30.818323135375977,-105.10442352294922,79.39,7.4,0.82,,0.09,-0.02,0.0,,,,,,26.31,1178.11,2.0,41.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.14,,0.16,0.5,317.77,30.82,-105.1,26.18,
4326,30.818323135375977,-105.10441589355469,79.4,7.4,0.82,,0.09,-0.02,0.0,,,,,,26.27,1178.07,2.0,42.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.11,,0.35,0.38,316.49,30.82,-105.1,26.25,
4327,30.818323135375977,-105.10440826416016,79.41,7.4,0.82,,0.09,-0.02,0.0,,,,,,26.28,1178.08,2.0,43.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.09,,0.19,0.38,20.07,30.82,-105.1,26.34,
4328,30.818323135375977,-105.10440063476562,79.42,7.39,0.82,,0.09,-0.02,0.0,,,,,,26.34,1178.14,2.0,44.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.08,,0.46,0.25,141.89,30.82,-105.1,26.37,
4329,30.818323135375977,-105.10438537597656,79.44,7.39,0.82,,0.09,-0.02,0.0,,,,,,26.43,1178.23,2.0,45.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.09,,0.44,0.5,147.63,30.82,-105.1,26.36,
4330,30.818323135375977,-105.10437774658203,79.45,7.38,0.82,,0.09,-0.02,0.0,,,,,,26.53,1178.32,2.0,46.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.13,,0.25,0.5,111.84,30.82,-105.1,26.4,
4331,30.818323135375977,-105.1043701171875,79.47,7.38,0.82,,0.09,-0.02,0.0,,,,,,26.68,1178.48,2.0,47.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.17,,0.21,0.5,102.02,30.82,-105.1,26.47,
4332,30.818323135375977,-105.10436248779297,79.48,7.37,0.82,,0.09,-0.02,0.0,,,,,,26.89,1178.69,2.0,48.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.2,,0.07,0.5,107.5,30.82,-105.1,26.61,
4333,30.818323135375977,-105.10435485839844,79.5,7.37,0.82,,0.09,-0.02,0.0,,,,,,27.11,1178.91,2.0,49.0,,,,,,,0.02,,,0.95,,,,,,,,,,0.2,,0.05,0.5,254.9,30.82,-105.1,27.19,
