geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg
489,30.81832504272461,-105.09159088134766,77.65,6.56,0.73,0.09,0.0,0.0,,,,"[82.10,77.09,83.11,64.04,77.82,72.96,88.66,69.76,72.32,88.66]","[0.10,0.11,0.11,0.07,-0.02,0.09,0.11,0.11,0.10,0.10]",,48.35,1200.15,0,489,,,,,,,0.17,,,0.63,,,,0.19,0.5,118.43
490,30.81832504272461,-105.09156799316406,77.64,6.56,0.73,0.09,0.0,0.0,,,,"[82.08,77.08,82.99,64.02,77.80,72.95,88.64,69.88,72.33,88.65]","[0.10,0.11,0.11,0.07,-0.02,0.09,0.11,0.11,0.10,0.10]",,48.62,1200.42,0,490,,,,,,,0.17,,,0.63,,,,0.19,0.5,244.01
491,30.81832504272461,-105.09153747558594,77.63,6.56,0.73,0.09,0.0,0.0,,,,"[82.07,77.07,82.87,64.00,77.78,72.94,88.61,69.99,72.34,88.63]","[0.10,0.11,0.11,0.07,-0.02,0.09,0.11,0.11,0.10,0.10]",,48.84,1200.64,0,491,,,,,,,0.17,,,0.63,,,,0.18,0.5,272.83
492,30.81832504272461,-105.09151458740234,77.62,6.57,0.73,0.09,-0.01,0.0,,,,"[82.05,77.06,82.75,63.98,77.76,72.93,88.59,70.10,72.36,88.62]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,49.05,1200.85,0,492,,,,,,,0.17,,,0.64,,,,0.17,0.5,225.32
493,30.81832504272461,-105.09149169921875,77.61,6.57,0.73,0.09,-0.01,0.0,,,,"[82.04,77.05,82.62,63.96,77.74,72.92,88.57,70.21,72.37,88.61]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,49.34,1201.14,0,493,,,,,,,0.17,,,0.64,,,,0.18,0.5,136.97
494,30.81832504272461,-105.09146118164062,77.6,6.57,0.73,0.09,-0.01,0.0,,,,"[82.02,77.04,82.50,63.94,77.71,72.91,88.55,70.32,72.38,88.59]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,49.75,1201.54,0,494,,,,,,,0.17,,,0.64,,,,0.19,0.51,255.43
495,30.81832504272461,-105.09144592285156,77.58,6.57,0.73,0.09,-0.01,0.0,,,,"[82.01,77.02,82.38,63.92,77.69,72.89,88.53,70.43,72.39,88.58]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,50.1,1201.9,0,495,,,,,,,0.17,,,0.64,,,,0.17,0.51,294.22
496,30.81832504272461,-105.0914077758789,77.57,6.57,0.73,0.09,-0.01,0.0,,,,"[81.99,77.01,82.26,63.90,77.67,72.88,88.51,70.54,72.41,88.56]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,50.45,1202.25,0,496,,,,,,,0.17,,,0.64,,,,0.16,0.46,255.54
497,30.81832504272461,-105.09137725830078,77.56,6.57,0.73,0.09,-0.01,0.0,,,,"[81.98,77.00,82.14,63.88,77.65,72.87,88.49,70.65,72.42,88.55]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,50.88,1202.68,0,497,,,,,,,0.17,,,0.64,,,,0.12,0.5,309.15
498,30.81832504272461,-105.09134674072266,77.55,6.59,0.73,0.09,-0.01,0.0,,,,"[81.95,76.97,82.06,63.88,77.64,72.85,88.48,70.72,72.42,88.54]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,51.16,1202.96,0,498,,,,,,,0.17,,,0.64,,,,0.07,0.5,104.63
499,30.81832504272461,-105.0913314819336,77.54,6.61,0.74,0.09,-0.01,0.0,,,,"[81.93,76.95,81.98,63.87,77.64,72.83,88.47,70.79,72.41,88.53]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,51.43,1203.23,0,499,,,,,,,0.17,,,0.64,,,,0.07,0.49,282.82
500,30.81832504272461,-105.09130859375,77.53,6.63,0.74,0.09,-0.01,0.0,,,,"[81.90,76.92,81.91,63.87,77.63,72.80,88.46,70.86,72.41,88.53]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,51.63,1203.43,0,500,,,,,,,0.17,,,0.64,,,,0.05,0.5,152.41
501,30.81832504272461,-105.09127044677734,77.52,6.65,0.74,0.09,-0.01,0.0,,,,"[81.87,76.90,81.83,63.86,77.63,72.78,88.45,70.94,72.41,88.52]","[0.11,0.11,0.11,0.07,-0.02,0.10,0.12,0.12,0.11,0.10]",,51.83,1203.63,0,501,,,,,,,0.17,,,0.64,,,,0.06,0.5,258.68
502,30.81832504272461,-105.09124755859375,77.51,6.67,0.74,0.09,-0.01,0.0,,,,"[81.84,76.87,81.75,63.86,77.62,72.76,88.43,71.01,72.40,88.51]","[0.11,0.11,0.11,0.07,-0.03,0.10,0.12,0.12,0.11,0.10]",,52.0,1203.8,0,502,,,,,,,0.17,,,0.65,,,,0.04,0.5,210.89
503,30.81832504272461,-105.09121704101562,77.5,6.68,0.74,0.09,-0.01,0.0,,,,"[81.82,76.84,81.68,63.86,77.61,72.74,88.42,71.08,72.40,88.50]","[0.11,0.11,0.11,0.07,-0.03,0.10,0.12,0.12,0.11,0.10]",,52.12,1203.91,0,503,,,,,,,0.17,,,0.65,,,,0.04,0.55,230.74
