geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
0,30.818313598632812,-105.10477447509766,79.1,7.51,0.83,0.09,-0.01,0.0,,,,"[81.97,77.68,82.19,72.00,78.58,74.26,89.79,71.47,73.59,89.48]","[0.10,0.10,0.10,0.09,-0.04,0.09,0.11,0.12,0.10,0.09]",,27.79,1179.59,0,0,,,,,,,0.02,,,0.97,,,,0.13,0.52,180.97,81.97,77.68,82.19,72.0,78.58,74.26,89.79,71.47,73.59,89.48,0.1,0.1,0.1,0.09,-0.04,0.09,0.11,0.12,0.1,0.09,,,,,,,,,,
1,30.818313598632812,-105.10472869873047,79.1,7.51,0.83,0.09,-0.01,0.0,,,,"[81.97,77.68,82.19,72.00,78.58,74.26,89.79,71.47,73.59,89.48]","[0.10,0.10,0.10,0.09,-0.04,0.09,0.11,0.12,0.10,0.09]",,27.34,1179.14,0,1,,,,,,,0.02,,,0.97,,,,0.12,0.54,167.77,81.97,77.68,82.19,72.0,78.58,74.26,89.79,71.47,73.59,89.48,0.1,0.1,0.1,0.09,-0.04,0.09,0.11,0.12,0.1,0.09,,,,,,,,,,
2,30.818313598632812,-105.10467529296875,79.1,7.51,0.83,0.09,-0.01,0.0,,,,"[81.97,77.68,82.19,72.00,78.58,74.26,89.79,71.47,73.59,89.48]","[0.10,0.10,0.10,0.09,-0.04,0.09,0.11,0.12,0.10,0.09]",,26.76,1178.56,0,2,,,,,,,0.02,,,0.97,,,,0.13,0.49,196.41,81.97,77.68,82.19,72.0,78.58,74.26,89.79,71.47,73.59,89.48,0.1,0.1,0.1,0.09,-0.04,0.09,0.11,0.12,0.1,0.09,,,,,,,,,,
3,30.818313598632812,-105.10462951660156,79.14,7.5,0.83,0.09,-0.01,0.0,,,,"[82.01,77.74,82.24,72.04,78.62,74.30,89.82,71.50,73.62,89.51]","[0.10,0.10,0.10,0.09,-0.04,0.09,0.11,0.12,0.10,0.09]",,26.3,1178.1,0,3,,,,,,,0.02,,,0.96,,,,0.13,0.53,135.89,82.01,77.74,82.24,72.04,78.62,74.3,89.82,71.5,73.62,89.51,0.1,0.1,0.1,0.09,-0.04,0.09,0.11,0.12,0.1,0.09,,,,,,,,,,
4,30.818313598632812,-105.1045913696289,79.19,7.48,0.83,0.09,-0.01,0.0,,,,"[82.07,77.82,82.30,72.09,78.67,74.36,89.86,71.55,73.66,89.55]","[0.10,0.10,0.10,0.09,-0.04,0.09,0.11,0.12,0.10,0.09]",,25.8,1177.6,0,4,,,,,,,0.02,,,0.96,,,,0.12,0.5,235.45,82.07,77.82,82.3,72.09,78.67,74.36,89.86,71.55,73.66,89.55,0.1,0.1,0.1,0.09,-0.04,0.09,0.11,0.12,0.1,0.09,,,,,,,,,,
5,30.818313598632812,-105.10453796386719,79.25,7.46,0.83,0.09,-0.01,0.0,,,,"[82.13,77.90,82.37,72.15,78.73,74.42,89.91,71.59,73.70,89.59]","[0.10,0.10,0.10,0.09,-0.04,0.09,0.11,0.12,0.10,0.09]",,25.83,1177.63,0,5,,,,,,,0.02,,,0.96,,,,0.1,0.46,192.94,82.13,77.9,82.37,72.15,78.73,74.42,89.91,71.59,73.7,89.59,0.1,0.1,0.1,0.09,-0.04,0.09,0.11,0.12,0.1,0.09,,,,,,,,,,
6,30.818313598632812,-105.1044921875,79.31,7.44,0.83,0.09,-0.02,0.0,,,,"[82.20,77.98,82.43,72.20,78.79,74.49,89.95,71.64,73.74,89.63]","[0.11,0.10,0.11,0.10,-0.05,0.10,0.11,0.11,0.10,0.09]",,26.21,1178.0,0,6,,,,,,,0.02,,,0.96,,,,0.08,0.55,160.84,82.2,77.98,82.43,72.2,78.79,74.49,89.95,71.64,73.74,89.63,0.11,0.1,0.11,0.1,-0.05,0.1,0.11,0.11,0.1,0.09,,,,,,,,,,
7,30.818313598632812,-105.10444641113281,79.36,7.42,0.82,0.09,-0.02,0.0,,,,"[82.26,78.06,82.50,72.26,78.84,74.55,89.99,71.69,73.78,89.67]","[0.11,0.10,0.11,0.10,-0.05,0.10,0.11,0.11,0.10,0.09]",,26.24,1178.04,0,7,,,,,,,0.02,,,0.96,,,,0.11,0.47,195.47,82.26,78.06,82.5,72.26,78.84,74.55,89.99,71.69,73.78,89.67,0.11,0.1,0.11,0.1,-0.05,0.1,0.11,0.11,0.1,0.09,,,,,,,,,,
8,30.818313598632812,-105.10440063476562,79.41,7.4,0.82,0.09,-0.02,0.0,,,,"[82.32,78.14,82.57,72.31,78.90,74.61,90.03,71.73,73.82,89.72]","[0.11,0.10,0.11,0.10,-0.05,0.10,0.11,0.11,0.10,0.09]",,26.36,1178.16,0,8,,,,,,,0.02,,,0.95,,,,0.12,0.43,191.12,82.32,78.14,82.57,72.31,78.9,74.61,90.03,71.73,73.82,89.72,0.11,0.1,0.11,0.1,-0.05,0.1,0.11,0.11,0.1,0.09,,,,,,,,,,
9,30.818313598632812,-105.10437774658203,79.48,7.37,0.82,0.09,-0.02,0.0,,,,"[82.39,78.24,82.65,72.38,78.97,74.68,90.08,71.80,73.87,89.77]","[0.11,0.10,0.11,0.10,-0.05,0.10,0.11,0.11,0.10,0.09]",,27.0,1178.8,0,9,,,,,,,0.02,,,0.95,,,,0.17,0.49,164.75,82.39,78.24,82.65,72.38,78.97,74.68,90.08,71.8,73.87,89.77,0.11,0.1,0.11,0.1,-0.05,0.1,0.11,0.11,0.1,0.09,,,,,,,,,,
