geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,elv_rel,elv,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,ls_land_cover,cl_land_cover,terrain_classification,anisotropy,downhill_fraction,dom_angle_deg,dom_dir
25979,30.83642547093789,-105.07327296418296,123.6,8.84000015258789,0.800000011920929,0.12,0.0,0.0,0.0,0.01,0.0,181.06,1308.62,300.0,300.0,300.0,300.0,300.0,300.0,-0.3790000081062317,0.04800000041723251,-0.1080000028014183,0.459,0.928,0.838,BN,,DSS,0.15571473770025296,0.5,-117.59069725304057,SW
26510,30.836335639409477,-105.07327296418296,123.6,8.84000015258789,0.800000011920929,0.12,0.0,0.0,0.0,0.01,0.0,180.11,1307.67,300.0,300.0,300.0,300.0,300.0,300.0,-0.3790000081062317,0.04800000041723251,-0.1080000028014183,0.459,0.928,0.838,BN,,,0.16624645278316424,0.375,-54.36019080191432,SE
27041,30.836245807881063,-105.07327296418296,123.6,8.84000015258789,0.800000011920929,0.12,0.0,0.0,0.0,0.01,0.0,179.42,1306.98,300.0,300.0,300.0,300.0,300.0,300.0,-0.3790000081062317,0.04800000041723251,-0.1080000028014183,0.459,0.928,0.838,BN,,DSS,0.18080759596023005,0.5,-27.42874122167853,SE
27572,30.83615597635265,-105.07327296418296,124.05,8.920000076293945,0.8100000023841858,0.12,0.0,0.0,-0.03,0.0,0.0,179.02,1306.58,300.0,300.0,300.0,300.0,300.0,300.0,-0.734000027179718,-0.5669999718666077,0.5590000152587891,0.097,0.241,0.249,BN,,DSS,0.17855017471932144,0.5,-24.443954780420636,SE
28103,30.836066144824237,-105.07327296418296,124.05,8.920000076293945,0.8100000023841858,0.12,0.0,0.0,-0.03,0.0,0.0,178.71,1306.27,300.0,300.0,300.0,300.0,300.0,300.0,-0.734000027179718,-0.5669999718666077,0.5590000152587891,0.097,0.241,0.249,BN,,DSS,0.10190665856613598,0.5,-29.2913621709834,SE
28634,30.835976313295824,-105.07327296418296,124.05,8.920000076293945,0.8100000023841858,0.12,0.0,0.0,-0.03,0.0,0.0,178.45,1306.01,300.0,300.0,300.0,300.0,300.0,300.0,-0.734000027179718,-0.5669999718666077,0.5590000152587891,0.097,0.241,0.249,BN,,DSS,0.04439096167721202,0.5,122.90524292298633,NW
29165,30.83588648176741,-105.07327296418296,123.83,9.0600004196167,0.8199999928474426,0.12,-0.01,0.0,-0.08,0.0,0.0,178.28,1305.84,300.0,300.0,300.0,300.0,300.0,300.0,-0.6949999928474426,-0.7059999704360962,0.5479999780654907,0.125,0.117,0.261,BN,,DSS,0.16684419824209754,0.5,131.82016988013913,NW
29696,30.835796650238997,-105.07327296418296,123.83,9.0600004196167,0.8199999928474426,0.12,-0.01,0.0,-0.08,0.0,0.0,178.13,1305.69,300.0,300.0,300.0,300.0,300.0,300.0,-0.6949999928474426,-0.7059999704360962,0.5479999780654907,0.125,0.117,0.261,BN,,DSS,0.2167639244807263,0.5,130.169580041712,NW
30227,30.835706818710584,-105.07327296418296,123.83,9.0600004196167,0.8199999928474426,0.12,-0.01,0.0,-0.08,0.0,0.0,177.91,1305.47,300.0,300.0,300.0,300.0,300.0,300.0,-0.6949999928474426,-0.7059999704360962,0.5479999780654907,0.125,0.117,0.261,BN,,DSS,0.1704012471008065,0.5,130.9717363335166,NW
30758,30.83561698718217,-105.07327296418296,123.83,9.140000343322754,0.8299999833106995,0.12,0.0,0.0,-0.1,0.01,0.0,177.68,1305.24,300.0,300.0,300.0,300.0,300.0,300.0,-0.7490000128746033,-0.4860000014305115,0.8009999990463257,0.087,0.329,0.056,BN,,DSS,0.1585107679788614,0.5,142.1250163489037,NW
31289,30.835527155653757,-105.07327296418296,123.83,9.140000343322754,0.8299999833106995,0.12,0.0,0.0,-0.1,0.01,0.0,177.52,1305.08,300.0,300.0,300.0,300.0,300.0,300.0,-0.7490000128746033,-0.4860000014305115,0.8009999990463257,0.087,0.329,0.056,BN,,DSS,0.20306233996054174,0.5,152.50716304846088,NW
31820,30.835437324125344,-105.07327296418296,123.83,9.140000343322754,0.8299999833106995,0.12,0.0,0.0,-0.1,0.01,0.0,177.44,1305.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.7490000128746033,-0.4860000014305115,0.8009999990463257,0.087,0.329,0.056,BN,,DSS,0.23207152880939746,0.5,157.74303734055047,W
32351,30.83534749259693,-105.07327296418296,124.3,9.119999885559082,0.8299999833106995,0.1,0.0,0.0,-0.1,0.0,0.0,177.32,1304.88,300.0,300.0,300.0,300.0,300.0,300.0,-0.718999981880188,-0.5720000267028809,0.5860000252723694,0.108,0.236,0.222,BN,,DSS,0.27476511623593275,0.5,160.72561264336585,W
32882,30.835257661068518,-105.07327296418296,124.3,9.119999885559082,0.8299999833106995,0.1,0.0,0.0,-0.1,0.0,0.0,177.01,1304.57,300.0,300.0,300.0,300.0,300.0,300.0,-0.718999981880188,-0.5720000267028809,0.5860000252723694,0.108,0.236,0.222,BN,,DSS,0.18117519097537527,0.5,165.55096987354034,W
33413,30.835167829540104,-105.07327296418296,124.3,9.119999885559082,0.8299999833106995,0.1,0.0,0.0,-0.1,0.0,0.0,176.29,1303.85,300.0,300.0,300.0,300.0,300.0,300.0,-0.718999981880188,-0.5720000267028809,0.5860000252723694,0.108,0.236,0.222,BN,,DSS,0.12011379162177663,0.625,161.56505117707883,W
33944,30.83507799801169,-105.07327296418296,123.88,9.020000457763672,0.8199999928474426,0.1,-0.01,0.0,-0.1,0.0,0.0,175.0,1302.56,300.0,300.0,300.0,300.0,300.0,300.0,-0.8999999761581421,-0.492000013589859,0.41999998688697815,0.014,0.322,0.407,BN,,DSS,0.055387059447202944,0.625,135.75384833306998,NW
