geoid,lat,lon,lstf,lstf_serc,lstf_arc,lstf_flag,ndvi,ndvi_serc,ndvi_arc,ndvi_flag,ndmi,ndmi_serc,ndmi_arc,ndmi_flag,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,lstf_temporal,ndvi_temporal,ndmi_temporal,ls_land_cover,cl_land_cover,terrain_classification,slope,aspect,tri,tpi,anisotropy,cgap,downhill_fraction,cgap_uphill,uphill_fraction,dom_angle_deg,dom_dir,dom_ptb_lat,dom_ptb_lon,dom_dir_elv,dd_geoid
119421,30.82061512193716,-105.07462043710916,119.58,3.390000104904175,0.3100000023841858,1.0,0.13,0.0,0.0,,-0.1,-0.01,0.0,,94.69,1222.25,476.0,224.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.8230000138282776,-0.9300000071525574,0.7929999828338623,0.044,0.007,0.06,"[118.9,118.0,120.5,122.1,115.7,122.3]","[0.1,0.2,0.1,0.1,0.2,0.1]","[-0.1,-0.1,-0.1,-0.1,-0.1,-0.1]",BN,,DSS,,,2.571356645819479,,0.10892417356240786,0.3465032431919415,0.5,0.18542063836231426,0.5,-152.37892501692374,SW,30.820794784993986,-105.07444077405233,100.75,119420
119952,30.820525290408746,-105.07462043710916,119.92,3.859999895095825,0.3499999940395355,1.0,0.1,0.0,0.0,,-0.07,0.01,0.0,,96.17,1223.73,476.0,225.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.6029999852180481,-0.6190000176429749,0.593999981880188,0.205,0.19,0.214,"[119.2,118.2,120.8,122.4,115.9,123.0]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.0,-0.1,-0.1,-0.0,-0.1]",BN,,DSS,,,2.4182354103767465,,0.07823446844163968,0.04529003975634316,0.5,0.21315800540038055,0.5,-41.67259575827281,SE,30.820525290408746,-105.07444077405233,103.55,118891
119952,30.820525290408746,-105.07462043710916,119.92,3.859999895095825,0.3499999940395355,1.0,0.1,0.0,0.0,,-0.07,0.01,0.0,,96.17,1223.73,476.0,225.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.6029999852180481,-0.6190000176429749,0.593999981880188,0.205,0.19,0.214,"[119.2,118.2,120.8,122.4,115.9,123.0]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.0,-0.1,-0.1,-0.0,-0.1]",BN,,DSS,,,2.4182354103767465,,0.07823446844163968,0.04529003975634316,0.5,0.21315800540038055,0.5,-41.67259575827281,SE,30.820525290408746,-105.07444077405233,103.55,118891
120483,30.820435458880333,-105.07462043710916,119.92,3.859999895095825,0.3499999940395355,1.0,0.1,0.0,0.0,,-0.07,0.01,0.0,,97.34,1224.9,476.0,226.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.6029999852180481,-0.6190000176429749,0.593999981880188,0.205,0.19,0.214,"[119.2,118.2,120.8,122.4,115.9,123.0]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.0,-0.1,-0.1,-0.0,-0.1]",BN,,DSS,,,2.374402556433933,,0.0238755834699243,0.2860007178749955,0.5,0.26851334445971187,0.5,-35.27242144859566,SE,30.820435458880333,-105.07444077405233,104.87,119422
120483,30.820435458880333,-105.07462043710916,119.92,3.859999895095825,0.3499999940395355,1.0,0.1,0.0,0.0,,-0.07,0.01,0.0,,97.34,1224.9,476.0,226.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.6029999852180481,-0.6190000176429749,0.593999981880188,0.205,0.19,0.214,"[119.2,118.2,120.8,122.4,115.9,123.0]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.0,-0.1,-0.1,-0.0,-0.1]",BN,,DSS,,,2.374402556433933,,0.0238755834699243,0.2860007178749955,0.5,0.26851334445971187,0.5,-35.27242144859566,SE,30.820435458880333,-105.07444077405233,104.87,119422
121014,30.82034562735192,-105.07462043710916,119.92,3.859999895095825,0.3499999940395355,1.0,0.1,0.0,0.0,,-0.07,0.01,0.0,,98.78,1226.34,476.0,227.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.6029999852180481,-0.6190000176429749,0.593999981880188,0.205,0.19,0.214,"[119.2,118.2,120.8,122.4,115.9,123.0]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.0,-0.1,-0.1,-0.0,-0.1]",BN,,DSS,,,2.372214155593883,,0.009385917636657764,0.7084271247461853,0.5,0.5404372260139523,0.5,-149.03624346792404,SW,30.820525290408746,-105.07444077405233,103.55,121013
121014,30.82034562735192,-105.07462043710916,119.92,3.859999895095825,0.3499999940395355,1.0,0.1,0.0,0.0,,-0.07,0.01,0.0,,98.78,1226.34,476.0,227.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.6029999852180481,-0.6190000176429749,0.593999981880188,0.205,0.19,0.214,"[119.2,118.2,120.8,122.4,115.9,123.0]","[0.1,0.1,0.1,0.1,0.1,0.1]","[-0.1,-0.0,-0.1,-0.1,-0.0,-0.1]",BN,,DSS,,,2.372214155593883,,0.009385917636657764,0.7084271247461853,0.5,0.5404372260139523,0.5,-149.03624346792404,SW,30.820525290408746,-105.07444077405233,103.55,121013
121545,30.820255795823506,-105.07462043710916,120.32,3.809999942779541,0.3499999940395355,1.0,0.12,0.0,0.0,,0.0,0.01,0.0,,100.66,1228.22,476.0,228.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.8690000176429749,-0.5479999780654907,0.7039999961853027,0.025,0.26,0.118,"[119.6,118.5,121.2,122.9,116.3,123.4]","[0.1,0.1,0.1,0.1,0.2,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,DSS,,,2.3712259487446583,,0.024769095301260525,0.7272139213105944,0.5,0.8523611075682092,0.5,-38.36748538486355,SE,30.820255795823506,-105.07444077405233,108.48,120484
121545,30.820255795823506,-105.07462043710916,120.32,3.809999942779541,0.3499999940395355,1.0,0.12,0.0,0.0,,0.0,0.01,0.0,,100.66,1228.22,476.0,228.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.8690000176429749,-0.5479999780654907,0.7039999961853027,0.025,0.26,0.118,"[119.6,118.5,121.2,122.9,116.3,123.4]","[0.1,0.1,0.1,0.1,0.2,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,DSS,,,2.3712259487446583,,0.024769095301260525,0.7272139213105944,0.5,0.8523611075682092,0.5,-38.36748538486355,SE,30.820255795823506,-105.07444077405233,108.48,120484
122076,30.820165964295093,-105.07462043710916,120.32,3.809999942779541,0.3499999940395355,1.0,0.12,0.0,0.0,,0.0,0.01,0.0,,102.55,1230.11,476.0,229.0,300.0,300.0,300.0,300.0,300.0,300.0,-0.8690000176429749,-0.5479999780654907,0.7039999961853027,0.025,0.26,0.118,"[119.6,118.5,121.2,122.9,116.3,123.4]","[0.1,0.1,0.1,0.1,0.2,0.1]","[-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",BN,,,,,2.3040887569709656,,0.01957313866399317,0.778218971944483,0.375,0.5657925650732829,0.625,-116.0295921915196,SW,30.82034562735192,-105.07444077405233,106.5,122075
