geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,tri,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,ls_land_cover,cl_land_cover,downhill_fraction,dom_angle_deg
1305,45.679359436035156,-89.52410888671875,35.85,-2.63,0,0.34,0.1,0,0.38,-0.22,0,"[37.16,34.53]","[0.29,0.39]","[0.49,0.27]",15.43,498.43,0.17,2.0,261.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,342.69
1305,45.679359436035156,-89.52410888671875,35.85,-2.63,0,0.34,0.1,0,0.38,-0.22,0,"[37.16,34.53]","[0.29,0.39]","[0.49,0.27]",15.43,498.43,0.17,2.0,261.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,342.69
1306,45.679359436035156,-89.5240707397461,35.79,-2.6,0,0.33,0.1,0,0.37,-0.22,0,"[37.09,34.49]","[0.29,0.38]","[0.48,0.26]",15.36,498.37,0.16,2.0,262.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,349.14
1306,45.679359436035156,-89.5240707397461,35.79,-2.6,0,0.33,0.1,0,0.37,-0.22,0,"[37.09,34.49]","[0.29,0.38]","[0.48,0.26]",15.36,498.37,0.16,2.0,262.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,349.14
1307,45.679359436035156,-89.52403259277344,35.74,-2.58,0,0.33,0.1,0,0.36,-0.22,0,"[37.03,34.45]","[0.28,0.38]","[0.47,0.25]",15.26,498.27,0.14,2.0,263.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,358.98
1307,45.679359436035156,-89.52403259277344,35.74,-2.58,0,0.33,0.1,0,0.36,-0.22,0,"[37.03,34.45]","[0.28,0.38]","[0.47,0.25]",15.26,498.27,0.14,2.0,263.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,358.98
1308,45.679359436035156,-89.52398681640625,35.68,-2.55,0,0.33,0.1,0,0.35,-0.22,0,"[36.96,34.41]","[0.27,0.38]","[0.47,0.24]",15.23,498.23,0.16,2.0,264.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.62,78.85
1308,45.679359436035156,-89.52398681640625,35.68,-2.55,0,0.33,0.1,0,0.35,-0.22,0,"[36.96,34.41]","[0.27,0.38]","[0.47,0.24]",15.23,498.23,0.16,2.0,264.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.62,78.85
1309,45.679359436035156,-89.52393341064453,35.63,-2.52,0,0.32,0.11,0,0.35,-0.22,0,"[36.89,34.37]","[0.27,0.38]","[0.46,0.23]",15.06,498.06,0.21,2.0,265.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,53.03
1309,45.679359436035156,-89.52393341064453,35.63,-2.52,0,0.32,0.11,0,0.35,-0.22,0,"[36.89,34.37]","[0.27,0.38]","[0.46,0.23]",15.06,498.06,0.21,2.0,265.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,53.03
1310,45.679359436035156,-89.52388763427734,35.57,-2.5,0,0.32,0.11,0,0.34,-0.22,0,"[36.82,34.33]","[0.26,0.37]","[0.45,0.22]",14.8,497.81,0.19,2.0,266.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,290.94
1310,45.679359436035156,-89.52388763427734,35.57,-2.5,0,0.32,0.11,0,0.34,-0.22,0,"[36.82,34.33]","[0.26,0.37]","[0.45,0.22]",14.8,497.81,0.19,2.0,266.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,290.94
1311,45.679359436035156,-89.52384948730469,35.52,-2.5,0,0.31,0.11,0,0.33,-0.23,0,"[36.77,34.27]","[0.26,0.37]","[0.44,0.22]",14.75,497.76,0.2,2.0,267.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,107.99
1311,45.679359436035156,-89.52384948730469,35.52,-2.5,0,0.31,0.11,0,0.33,-0.23,0,"[36.77,34.27]","[0.26,0.37]","[0.44,0.22]",14.75,497.76,0.2,2.0,267.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,107.99
1312,45.679359436035156,-89.52381134033203,35.47,-2.54,0,0.3,0.11,0,0.32,-0.23,0,"[36.74,34.20]","[0.25,0.36]","[0.44,0.21]",14.46,497.47,0.16,2.0,268.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,290.29
1312,45.679359436035156,-89.52381134033203,35.47,-2.54,0,0.3,0.11,0,0.32,-0.23,0,"[36.74,34.20]","[0.25,0.36]","[0.44,0.21]",14.46,497.47,0.16,2.0,268.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.5,290.29
1313,45.679359436035156,-89.52375030517578,35.42,-2.58,0,0.3,0.11,0,0.32,-0.24,0,"[36.71,34.14]","[0.24,0.36]","[0.43,0.20]",14.38,497.38,0.09,2.0,269.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.12,285.22
1313,45.679359436035156,-89.52375030517578,35.42,-2.58,0,0.3,0.11,0,0.32,-0.24,0,"[36.71,34.14]","[0.24,0.36]","[0.43,0.20]",14.38,497.38,0.09,2.0,269.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.12,285.22
1314,45.679359436035156,-89.52371978759766,35.38,-2.62,0,0.29,0.12,0,0.31,-0.24,0,"[36.68,34.07]","[0.23,0.35]","[0.43,0.19]",14.4,497.41,0.09,2.0,270.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.75,101.17
1314,45.679359436035156,-89.52371978759766,35.38,-2.62,0,0.29,0.12,0,0.31,-0.24,0,"[36.68,34.07]","[0.23,0.35]","[0.43,0.19]",14.4,497.41,0.09,2.0,270.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.75,101.17
1315,45.679359436035156,-89.52367401123047,35.33,-2.66,0,0.28,0.12,0,0.3,-0.25,0,"[36.66,34.00]","[0.22,0.34]","[0.43,0.18]",14.34,497.34,0.1,2.0,271.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.25,209.59
1315,45.679359436035156,-89.52367401123047,35.33,-2.66,0,0.28,0.12,0,0.3,-0.25,0,"[36.66,34.00]","[0.22,0.34]","[0.43,0.18]",14.34,497.34,0.1,2.0,271.0,0,0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,0.25,209.59
