geoid,idx_row,idx_col,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,tri,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,downhill_fraction,dom_clock_dir,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
0,0,0,45.70524597167969,-89.60357666015625,63.62,-75.33,-0.38,0.62,-0.36,-0.04,0.18,-0.31,-0.05,"[75.33,68.49,69.79,73.09,63.14,66.17,78.94,74.40,66.89,0.00]","[0.73,0.48,0.78,0.80,0.44,0.68,0.74,0.75,0.41,0.37]","[0.31,-0.02,0.35,0.40,-0.03,0.25,0.34,0.31,-0.10,-0.00]",28.65,493.13,0,0,0,0,0,0,0,0.62,0.46,0.98,0.06,0.18,0.0,0,,75.33,68.49,69.79,73.09,63.14,66.17,78.94,74.4,66.89,0.0,0.73,0.48,0.78,0.8,0.44,0.68,0.74,0.75,0.41,0.37,0.31,-0.02,0.35,0.4,-0.03,0.25,0.34,0.31,-0.1,-0.0
1,0,1,45.70524597167969,-89.60340118408203,63.53,-75.28,-0.38,0.62,-0.35,-0.04,0.18,-0.31,-0.05,"[75.27,68.43,69.69,72.95,62.99,65.99,78.88,74.31,66.75,0.00]","[0.73,0.50,0.78,0.80,0.45,0.68,0.74,0.75,0.42,0.38]","[0.31,-0.01,0.35,0.40,-0.03,0.25,0.34,0.31,-0.09,0.01]",26.55,491.03,0,0,0,0,0,0,0,0.64,0.46,0.97,0.05,0.18,0.0,0,,75.27,68.43,69.69,72.95,62.99,65.99,78.88,74.31,66.75,0.0,0.73,0.5,0.78,0.8,0.45,0.68,0.74,0.75,0.42,0.38,0.31,-0.01,0.35,0.4,-0.03,0.25,0.34,0.31,-0.09,0.01
2,0,2,45.70524597167969,-89.60322570800781,63.4,-75.21,-0.37,0.63,-0.35,-0.03,0.19,-0.28,-0.04,"[75.21,68.37,69.56,72.76,62.77,65.74,78.82,74.18,66.57,0.00]","[0.73,0.54,0.78,0.81,0.47,0.69,0.75,0.75,0.44,0.38]","[0.30,0.02,0.35,0.40,-0.02,0.26,0.35,0.31,-0.08,0.02]",25.16,489.63,0,0,0,0,0,0,0,0.66,0.47,0.97,0.04,0.17,0.0,0,,75.21,68.37,69.56,72.76,62.77,65.74,78.82,74.18,66.57,0.0,0.73,0.54,0.78,0.81,0.47,0.69,0.75,0.75,0.44,0.38,0.3,0.02,0.35,0.4,-0.02,0.26,0.35,0.31,-0.08,0.02
3,0,3,45.70524597167969,-89.60304260253906,63.28,-75.16,-0.34,0.64,-0.35,-0.03,0.2,-0.26,-0.04,"[75.16,68.35,69.43,72.57,62.54,65.51,78.79,74.04,66.41,0.00]","[0.73,0.57,0.78,0.81,0.48,0.69,0.76,0.75,0.45,0.38]","[0.30,0.04,0.35,0.39,-0.01,0.26,0.36,0.32,-0.07,0.03]",25.24,489.72,0,0,0,0,0,0,0,0.7,0.47,0.95,0.03,0.17,0.0,0,,75.16,68.35,69.43,72.57,62.54,65.51,78.79,74.04,66.41,0.0,0.73,0.57,0.78,0.81,0.48,0.69,0.76,0.75,0.45,0.38,0.3,0.04,0.35,0.39,-0.01,0.26,0.36,0.32,-0.07,0.03
4,0,4,45.70524597167969,-89.60285949707031,63.18,-75.14,-0.3,0.65,-0.36,-0.02,0.21,-0.25,-0.03,"[75.14,68.38,69.31,72.41,62.24,65.31,78.83,73.87,66.31,0.00]","[0.73,0.61,0.78,0.81,0.50,0.69,0.76,0.75,0.46,0.37]","[0.29,0.09,0.35,0.39,0.02,0.26,0.36,0.32,-0.06,0.04]",24.42,488.9,0,0,0,0,0,0,0,0.74,0.49,0.94,0.02,0.15,0.0,0,,75.14,68.38,69.31,72.41,62.24,65.31,78.83,73.87,66.31,0.0,0.73,0.61,0.78,0.81,0.5,0.69,0.76,0.75,0.46,0.37,0.29,0.09,0.35,0.39,0.02,0.26,0.36,0.32,-0.06,0.04
5,0,5,45.70524597167969,-89.6026840209961,63.1,-75.13,-0.25,0.65,-0.38,-0.01,0.22,-0.25,-0.02,"[75.13,68.41,69.20,72.27,62.07,65.12,78.90,73.68,66.23,0.00]","[0.73,0.64,0.78,0.81,0.52,0.69,0.76,0.75,0.46,0.35]","[0.30,0.14,0.35,0.39,0.05,0.27,0.37,0.32,-0.06,0.05]",23.33,487.81,0,0,0,0,0,0,0,0.77,0.5,0.93,0.01,0.14,0.0,0,,75.13,68.41,69.2,72.27,62.07,65.12,78.9,73.68,66.23,0.0,0.73,0.64,0.78,0.81,0.52,0.69,0.76,0.75,0.46,0.35,0.3,0.14,0.35,0.39,0.05,0.27,0.37,0.32,-0.06,0.05
6,0,6,45.70524597167969,-89.60250091552734,63.06,-75.13,-0.2,0.65,-0.4,-0.01,0.23,-0.24,-0.01,"[75.13,68.40,69.12,72.16,62.29,64.92,78.96,73.46,66.18,0.00]","[0.73,0.67,0.78,0.81,0.54,0.69,0.76,0.74,0.46,0.33]","[0.30,0.19,0.35,0.40,0.11,0.27,0.37,0.31,-0.06,0.07]",21.63,486.11,0,0,0,0,0,0,0,0.8,0.51,0.91,0.01,0.14,0.0,0,,75.13,68.4,69.12,72.16,62.29,64.92,78.96,73.46,66.18,0.0,0.73,0.67,0.78,0.81,0.54,0.69,0.76,0.74,0.46,0.33,0.3,0.19,0.35,0.4,0.11,0.27,0.37,0.31,-0.06,0.07
7,0,7,45.70524597167969,-89.60232543945312,63.1,-75.12,-0.18,0.65,-0.41,-0.01,0.24,-0.25,-0.01,"[75.12,68.35,69.13,72.10,63.06,64.78,78.99,73.29,66.18,0.00]","[0.74,0.68,0.78,0.81,0.56,0.70,0.76,0.73,0.45,0.32]","[0.31,0.22,0.36,0.40,0.15,0.28,0.36,0.30,-0.07,0.07]",20.39,484.87,0,0,0,0,0,0,0,0.8,0.51,0.91,0.01,0.14,0.0,0,,75.12,68.35,69.13,72.1,63.06,64.78,78.99,73.29,66.18,0.0,0.74,0.68,0.78,0.81,0.56,0.7,0.76,0.73,0.45,0.32,0.31,0.22,0.36,0.4,0.15,0.28,0.36,0.3,-0.07,0.07
8,0,8,45.70524597167969,-89.60214233398438,63.16,-75.12,-0.17,0.65,-0.43,-0.0,0.24,-0.25,-0.0,"[75.12,68.26,69.19,72.07,63.96,64.65,79.00,73.15,66.20,0.00]","[0.74,0.69,0.77,0.80,0.56,0.69,0.74,0.72,0.44,0.31]","[0.32,0.24,0.36,0.41,0.18,0.28,0.35,0.29,-0.08,0.07]",20.18,484.66,0,0,0,0,0,0,0,0.8,0.51,0.91,0.01,0.14,0.0,0,,75.12,68.26,69.19,72.07,63.96,64.65,79.0,73.15,66.2,0.0,0.74,0.69,0.77,0.8,0.56,0.69,0.74,0.72,0.44,0.31,0.32,0.24,0.36,0.41,0.18,0.28,0.35,0.29,-0.08,0.07
9,0,9,45.70524597167969,-89.60196685791016,63.21,-75.1,-0.17,0.63,-0.42,-0.0,0.23,-0.25,0.0,"[75.10,68.14,69.29,72.07,64.71,64.53,78.98,73.04,66.22,0.00]","[0.73,0.68,0.75,0.78,0.55,0.67,0.72,0.69,0.42,0.31]","[0.30,0.25,0.35,0.39,0.18,0.28,0.33,0.27,-0.08,0.06]",17.99,482.47,0,0,0,0,0,0,0,0.79,0.52,0.91,0.01,0.13,0.0,0,,75.1,68.14,69.29,72.07,64.71,64.53,78.98,73.04,66.22,0.0,0.73,0.68,0.75,0.78,0.55,0.67,0.72,0.69,0.42,0.31,0.3,0.25,0.35,0.39,0.18,0.28,0.33,0.27,-0.08,0.06
